,,add,addi,addu,sub,subu,and,or,sll,lw,sw,beq,bne,bgtz,slt,sltu
inputs,inst[0],0,x,1,0,1,0,1,0,x,x,x,x,x,0,1
,inst[1],0,x,0,1,1,0,0,0,x,x,x,x,x,1,1
,inst[2],0,x,0,0,0,1,1,0,x,x,x,x,x,0,0
,inst[3],0,x,0,0,0,0,0,0,x,x,x,x,x,1,1
,inst[4],0,x,0,0,0,0,0,0,x,x,x,x,x,0,0
,inst[5],1,x,1,1,1,1,1,0,x,x,x,x,x,1,1
,,,,,,,,,,,,,,,,
,alu_op[0],0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
,alu_op[1],1,0,1,1,1,1,1,1,0,0,0,0,0,1,1
,,,,,,,,,,,,,,,,
output,sel[0],0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
,sel[1],1,1,0,1,1,0,0,0,1,1,1,1,1,1,1
,sel[2],0,0,1,1,1,0,0,1,0,0,1,1,1,0,1
,,,,,,,,,,,,,,,,